#current,date
0.0,2024-10-11
0.2,2024-10-12
0.4,2024-10-13
0.6,2024-10-14
0.7,2024-10-15
0.8,2024-10-16
1.0,2024-10-18
1.2,2024-10-19
1.4,2024-10-20
1.5,2024-10-21
0.0,2024-10-21
0.0,2024-10-22
0.5,2024-10-23
1.0,2024-10-25
1.1,2024-10-27
1.2,2024-10-29
1.3,2024-11-01
1.4,2024-11-04
1.5,2024-11-06
1.6,2024-11-08
1.7,2024-11-10
1.8,2024-11-12
1.9,2024-11-14
2.0,2024-11-16
2.1,2024-11-18
2.2,2024-11-20
2.3,2024-11-22
2.4,2024-11-24
2.5,2024-11-26
2.6,2024-11-28
